question,expected_keywords,expected_conditions,expect_company,expect_indicator,expect_time,description
富奥股份最近一年的归属母公司净利润-预测走势,"富奥股份,000030.SZ,归属母公司净利润-预测,NET_PROFIT_PREDICT",,富奥股份,归属母公司净利润-预测,1y,[prediction] 验证 归属母公司净利润-预测 (table)
国新健康的归属母公司净利润-预测是多少,"国新健康,000503.SZ,归属母公司净利润-预测,NET_PROFIT_PREDICT",,国新健康,归属母公司净利润-预测,10y,[prediction] 验证 归属母公司净利润-预测 (table)
山东路桥最新的市净率-预测,"山东路桥,000498.SZ,市净率-预测,PB_PREDICT","ORDER BY,LIMIT 1",山东路桥,市净率-预测,latest,[prediction] 验证 市净率-预测 (table)
查一下英特集团的市净率-预测,"英特集团,000411.SZ,市净率-预测,PB_PREDICT",,英特集团,市净率-预测,10y,[prediction] 验证 市净率-预测 (table)
截至2023年底中国天楹的市盈率-预测,"中国天楹,000035.SZ,市盈率-预测,PE_PREDICT","<=,2023",中国天楹,市盈率-预测,until_2023,[prediction] 验证 市盈率-预测 (table)
查一下富奥股份的市盈率-预测,"富奥股份,000030.SZ,市盈率-预测,PE_PREDICT",,富奥股份,市盈率-预测,10y,[prediction] 验证 市盈率-预测 (table)
深赛格的预测值标识是多少,"深赛格,000058.SZ,预测值标识,PREDICT_FLAG",,深赛格,预测值标识,10y,[prediction] 验证 预测值标识 (table)
查一下大悦城的预测值标识,"大悦城,000031.SZ,预测值标识,PREDICT_FLAG",,大悦城,预测值标识,10y,[prediction] 验证 预测值标识 (table)
德赛电池最近一年的市销率-预测走势,"德赛电池,000049.SZ,市销率-预测,PS_PREDICT",,德赛电池,市销率-预测,1y,[prediction] 验证 市销率-预测 (table)
2023年国际实业的市销率-预测,"国际实业,000159.SZ,市销率-预测,PS_PREDICT",2023,国际实业,市销率-预测,2023,[prediction] 验证 市销率-预测 (table)
查一下农产品的扣非后净利润增速-预测,"农产品,000061.SZ,扣非后净利润增速-预测,RECURRENT_NET_INCOME_GROWTH_RATE_PREDICT",,农产品,扣非后净利润增速-预测,10y,[prediction] 验证 扣非后净利润增速-预测 (table)
深科技最新的扣非后净利润增速-预测,"深科技,000021.SZ,扣非后净利润增速-预测,RECURRENT_NET_INCOME_GROWTH_RATE_PREDICT","ORDER BY,LIMIT 1",深科技,扣非后净利润增速-预测,latest,[prediction] 验证 扣非后净利润增速-预测 (table)
截至2023年底国药一致的扣非后净利润-预测,"国药一致,000028.SZ,扣非后净利润-预测,RECURRENT_NET_INCOME_PREDICT","<=,2023",国药一致,扣非后净利润-预测,until_2023,[prediction] 验证 扣非后净利润-预测 (table)
招金黄金最近一年的扣非后净利润-预测走势,"招金黄金,000506.SZ,扣非后净利润-预测,RECURRENT_NET_INCOME_PREDICT",,招金黄金,扣非后净利润-预测,1y,[prediction] 验证 扣非后净利润-预测 (table)
查一下深圳华强的营业收入增速-预测,"深圳华强,000062.SZ,营业收入增速-预测,REVENUE_GROWTH_RATE_PREDICT",,深圳华强,营业收入增速-预测,10y,[prediction] 验证 营业收入增速-预测 (table)
全新好的营业收入增速-预测是多少,"全新好,000007.SZ,营业收入增速-预测,REVENUE_GROWTH_RATE_PREDICT",,全新好,营业收入增速-预测,10y,[prediction] 验证 营业收入增速-预测 (table)
2023年美的集团的营业收入-预测,"美的集团,000333.SZ,营业收入-预测,REVENUE_PREDICT",2023,美的集团,营业收入-预测,2023,[prediction] 验证 营业收入-预测 (table)
中信海直最近一年的营业收入-预测走势,"中信海直,000099.SZ,营业收入-预测,REVENUE_PREDICT",,中信海直,营业收入-预测,1y,[prediction] 验证 营业收入-预测 (table)
新金路最新的平均总资产收益率-预测,"新金路,000510.SZ,平均总资产收益率-预测,ROAA_PREDICT","ORDER BY,LIMIT 1",新金路,平均总资产收益率-预测,latest,[prediction] 验证 平均总资产收益率-预测 (table)
全新好最近一年的平均总资产收益率-预测走势,"全新好,000007.SZ,平均总资产收益率-预测,ROAA_PREDICT",,全新好,平均总资产收益率-预测,1y,[prediction] 验证 平均总资产收益率-预测 (table)
截至2023年底华联控股的平均净资产收益率-预测,"华联控股,000036.SZ,平均净资产收益率-预测,ROAE_PREDICT","<=,2023",华联控股,平均净资产收益率-预测,until_2023,[prediction] 验证 平均净资产收益率-预测 (table)
潍柴动力最近一年的平均净资产收益率-预测走势,"潍柴动力,000338.SZ,平均净资产收益率-预测,ROAE_PREDICT",,潍柴动力,平均净资产收益率-预测,1y,[prediction] 验证 平均净资产收益率-预测 (table)
截至2023年底富奥股份的毛利率,"富奥股份,000030.SZ,毛利率,GROSS_PROFIT_MARGIN","<=,2023",富奥股份,毛利率,until_2023,[main_business] 验证 毛利率 (bar)
北方国际最近一年的毛利率走势,"北方国际,000065.SZ,毛利率,GROSS_PROFIT_MARGIN",,北方国际,毛利率,1y,[main_business] 验证 毛利率 (bar)
深圳机场的毛利率增长率是多少,"深圳机场,000089.SZ,毛利率增长率,INC_PROFIT_MARGIN",,深圳机场,毛利率增长率,5y,[main_business] 验证 毛利率增长率 (bar)
深深房A最新的毛利率增长率,"深深房A,000029.SZ,毛利率增长率,INC_PROFIT_MARGIN","ORDER BY,LIMIT 1",深深房A,毛利率增长率,latest,[main_business] 验证 毛利率增长率 (bar)
合百集团最近一年的主营业务成本同比增长率走势,"合百集团,000417.SZ,主营业务成本同比增长率,INC_SEGMENT_COST",,合百集团,主营业务成本同比增长率,1y,[main_business] 验证 主营业务成本同比增长率 (bar)
华天酒店最新的主营业务成本同比增长率,"华天酒店,000428.SZ,主营业务成本同比增长率,INC_SEGMENT_COST","ORDER BY,LIMIT 1",华天酒店,主营业务成本同比增长率,latest,[main_business] 验证 主营业务成本同比增长率 (bar)
查一下常山北明的主营业务利润同比增长率,"常山北明,000158.SZ,主营业务利润同比增长率,INC_SEGMENT_PROFIT",,常山北明,主营业务利润同比增长率,5y,[main_business] 验证 主营业务利润同比增长率 (bar)
派林生物最新的主营业务利润同比增长率,"派林生物,000403.SZ,主营业务利润同比增长率,INC_SEGMENT_PROFIT","ORDER BY,LIMIT 1",派林生物,主营业务利润同比增长率,latest,[main_business] 验证 主营业务利润同比增长率 (bar)
查一下深科技的主营业务收入同比增长率,"深科技,000021.SZ,主营业务收入同比增长率,INC_SEGMENT_SALES",,深科技,主营业务收入同比增长率,5y,[main_business] 验证 主营业务收入同比增长率 (bar)
中金岭南最近一年的主营业务收入同比增长率走势,"中金岭南,000060.SZ,主营业务收入同比增长率,INC_SEGMENT_SALES",,中金岭南,主营业务收入同比增长率,1y,[main_business] 验证 主营业务收入同比增长率 (bar)
神州高铁最新的是否公布值,"神州高铁,000008.SZ,是否公布值,IS_PUBLISHED_VALUE","ORDER BY,LIMIT 1",神州高铁,是否公布值,latest,[main_business] 验证 是否公布值 (bar)
2023年京基智农的是否公布值,"京基智农,000048.SZ,是否公布值,IS_PUBLISHED_VALUE",2023,京基智农,是否公布值,2023,[main_business] 验证 是否公布值 (bar)
2023年中信海直的主营业务成本占比,"中信海直,000099.SZ,主营业务成本占比,PCT_SEGMENT_COST",2023,中信海直,主营业务成本占比,2023,[main_business] 验证 主营业务成本占比 (bar)
胜利股份最新的主营业务成本占比,"胜利股份,000407.SZ,主营业务成本占比,PCT_SEGMENT_COST","ORDER BY,LIMIT 1",胜利股份,主营业务成本占比,latest,[main_business] 验证 主营业务成本占比 (bar)
查一下渤海租赁的主营业务利润占比,"渤海租赁,000415.SZ,主营业务利润占比,PCT_SEGMENT_PROFIT",,渤海租赁,主营业务利润占比,5y,[main_business] 验证 主营业务利润占比 (bar)
中联重科最近一年的主营业务利润占比走势,"中联重科,000157.SZ,主营业务利润占比,PCT_SEGMENT_PROFIT",,中联重科,主营业务利润占比,1y,[main_business] 验证 主营业务利润占比 (bar)
东阿阿胶最新的主营业务收入占比,"东阿阿胶,000423.SZ,主营业务收入占比,PCT_SEGMENT_SALES","ORDER BY,LIMIT 1",东阿阿胶,主营业务收入占比,latest,[main_business] 验证 主营业务收入占比 (bar)
查一下皇庭国际的主营业务收入占比,"皇庭国际,000056.SZ,主营业务收入占比,PCT_SEGMENT_SALES",,皇庭国际,主营业务收入占比,5y,[main_business] 验证 主营业务收入占比 (bar)
神州高铁最新的报告期类型,"神州高铁,000008.SZ,报告期类型,REPORT_TYPE","ORDER BY,LIMIT 1",神州高铁,报告期类型,latest,[main_business] 验证 报告期类型 (bar)
合百集团的报告期类型是多少,"合百集团,000417.SZ,报告期类型,REPORT_TYPE",,合百集团,报告期类型,5y,[main_business] 验证 报告期类型 (bar)
2023年深华发A的主营业务成本,"深华发A,000020.SZ,主营业务成本,S_SEGMENT_COST",2023,深华发A,主营业务成本,2023,[main_business] 验证 主营业务成本 (bar)
2023年深圳华强的主营业务成本,"深圳华强,000062.SZ,主营业务成本,S_SEGMENT_COST",2023,深圳华强,主营业务成本,2023,[main_business] 验证 主营业务成本 (bar)
深中华A最近一年的主营业务项目走势,"深中华A,000017.SZ,主营业务项目,S_SEGMENT_ITEM",,深中华A,主营业务项目,1y,[main_business] 验证 主营业务项目 (bar)
胜利股份的主营业务项目是多少,"胜利股份,000407.SZ,主营业务项目,S_SEGMENT_ITEM",,胜利股份,主营业务项目,5y,[main_business] 验证 主营业务项目 (bar)
中国长城最新的主营业务利润,"中国长城,000066.SZ,主营业务利润,S_SEGMENT_PROFIT","ORDER BY,LIMIT 1",中国长城,主营业务利润,latest,[main_business] 验证 主营业务利润 (bar)
查一下深天马A的主营业务利润,"深天马A,000050.SZ,主营业务利润,S_SEGMENT_PROFIT",,深天马A,主营业务利润,5y,[main_business] 验证 主营业务利润 (bar)
2023年深圳能源的主营业务收入,"深圳能源,000027.SZ,主营业务收入,S_SEGMENT_SALES",2023,深圳能源,主营业务收入,2023,[main_business] 验证 主营业务收入 (bar)
东阿阿胶的主营业务收入是多少,"东阿阿胶,000423.SZ,主营业务收入,S_SEGMENT_SALES",,东阿阿胶,主营业务收入,5y,[main_business] 验证 主营业务收入 (bar)
